num_spheres=89,sphere_radius=0.1138,best_known_diameter=0.22753939547,num_samples=1000,dt=0.03,max_iter=2500,tol=1e-09,boundary_mode=stophit
################################################################################
sample_index,min_distance,avg_distance,excess
719,0.210231,0.624714,0.017309
720,0.214237,0.624770,0.013303
721,0.210851,0.620445,0.016688
722,0.212195,0.622261,0.015345
723,0.210139,0.621915,0.017401
724,0.211148,0.617891,0.016391
725,0.209943,0.622287,0.017597
726,0.215704,0.621177,0.011835
727,0.212958,0.615538,0.014581
728,0.209932,0.615388,0.017607
729,0.211739,0.621163,0.015800
730,0.210512,0.619540,0.017027
731,0.212955,0.620117,0.014584
732,0.208894,0.621299,0.018646
733,0.207909,0.615629,0.019631
734,0.209393,0.623592,0.018147
735,0.211303,0.622011,0.016236
736,0.205670,0.616144,0.021869
737,0.211347,0.623682,0.016192
738,0.211699,0.623245,0.015841
739,0.208997,0.618278,0.018542
740,0.213149,0.617762,0.014390
741,0.212467,0.620839,0.015072
742,0.210615,0.617945,0.016925
743,0.210058,0.620331,0.017481
744,0.214672,0.619770,0.012867
745,0.211889,0.618259,0.015650
746,0.213357,0.624109,0.014182
747,0.208474,0.618248,0.019066
748,0.213758,0.623261,0.013782
749,0.215739,0.623020,0.011800
750,0.208060,0.620963,0.019479
751,0.208213,0.623190,0.019327
752,0.211410,0.622050,0.016130
753,0.211664,0.620875,0.015876
754,0.207717,0.621515,0.019823
755,0.207868,0.618100,0.019672
756,0.211142,0.617648,0.016397
757,0.204043,0.617534,0.023497
758,0.211362,0.620759,0.016177
759,0.208447,0.624818,0.019092
760,0.205522,0.617780,0.022017
761,0.211522,0.624214,0.016017
762,0.215903,0.619498,0.011637
763,0.208174,0.620034,0.019365
764,0.211185,0.621063,0.016354
765,0.215268,0.619879,0.012272
766,0.210230,0.619437,0.017309
767,0.211070,0.616158,0.016469
768,0.209372,0.617037,0.018168
769,0.209403,0.616475,0.018137
770,0.204749,0.618052,0.022790
771,0.211103,0.620855,0.016437
772,0.210004,0.617923,0.017536
773,0.209304,0.618159,0.018236
774,0.201067,0.620647,0.026473
775,0.209465,0.622139,0.018074
776,0.211901,0.621747,0.015639
777,0.213170,0.624836,0.014370
778,0.212210,0.621624,0.015329
779,0.208214,0.619258,0.019326
780,0.207960,0.619714,0.019579
781,0.203312,0.613918,0.024227
782,0.210725,0.615291,0.016814
783,0.212873,0.622301,0.014666
784,0.207228,0.622383,0.020312
785,0.213151,0.617549,0.014388
